标题,分类,,,,,,热力值,链接
有没有女主人间清醒的小说？,古言,大女主文,现言,,,,10,https://www.zhihu.com/question/553269690
如果以中国缉毒警的力量能剿灭墨西哥毒枭吗？,墨西哥,贩毒,缉毒,,,,10,https://www.zhihu.com/question/561170967
拜登称中国电动车全球份额巨大，美国需要设立大胆目标把份额「夺回来」，美国布局电动车是否时机已过?,比亚迪,电动汽车,电动车,,,,9.4748,https://www.zhihu.com/question/481125947
孙小果继父为什么那么护着他？,法律,离异家庭,重组家庭,,,,9.211285,https://www.zhihu.com/question/561157065
瑞典 26 岁伊朗裔女性接任气候与环境大臣，成为该国史上最年轻部长，如何看待这一任命背后的考量？,环境保护,Sweden（瑞典）,政治正确,,,,9.168845,https://www.zhihu.com/question/536635289
我有一个老师说，张桂梅老师的行为不正常，是有问题的，我该怎么反驳呢？,反驳,如何反驳TA,,,,,8.798611764705882,https://www.zhihu.com/question/450022791
为什么外国人喜欢打华裔老人、儿童、女人?,华人,经济,华裔,,,,8.678094117647058,https://www.zhihu.com/question/561362754
S12 淘汰赛 RNG 0:3 不敌 T1 止步八强，如何评价这场比赛？,英雄联盟（LoL）,英雄联盟全球总决赛（LoL WCS）,RNG 英雄联盟战队（Royal Never Give Up）,,,,8.556517647058824,https://www.zhihu.com/question/557968910
美国都可以打不下阿富汗，为什么俄罗斯不可以打不下乌克兰？有本质区别吗？,美国,乌克兰,阿富汗伊斯兰共和国,,,,8.529429411764706,https://www.zhihu.com/question/560265157
如果你是修仙家族的老祖你会怎么发展自己的家族？,家族,玄幻小说,修仙,,,,8.470711764705882,https://www.zhihu.com/question/561204747
上任 45 天后特拉斯宣布辞职，成为英国任期最短首相，如何评价她的首相生涯？谁将接任其职位？,政治,英国,经济,,,,8.409470588235294,https://www.zhihu.com/question/326968879
什么是情绪价值？,情绪,价值,,,,,8.340764705882352,https://www.zhihu.com/question/531355108
公开IP属地后，为什么我感觉网络上清净多了?,计算机网络,IP 地址,,,,,8.283,https://www.zhihu.com/question/354884363
女生做医药代表是什么体验?,医药市场,医药代表,医药行业,,,,8.252135294117647,https://www.zhihu.com/question/561309026
如何看待德法分歧愈显严重，马克龙公开指责「搞孤立没好处」？德法的分歧对欧盟将产生哪些影响？,美国,法国,德国,,,,8.242764705882353,https://www.zhihu.com/question/561161735
美军一架 F35A 战机在基地坠毁，飞行员成功弹射逃生，事故发生的原因是什么？,军事,社会,安全,,,,8.19955294117647,https://www.zhihu.com/question/63705365
在国外的朋友现在回国真的很难吗？,回国,国外,海外回国,,,,8.133617647058824,https://www.zhihu.com/question/487434273
为什么我们国家总是用调休，其实没有多放假，反而弄的打工人非常疲惫？,休假,法定假期,放假调休,,,,8.13360588235294,https://www.zhihu.com/question/554264520
为什么有些老顾客吃着吃着就不再来照顾生意了？,生意,,英雄联盟（LoL）,,,,7.942774999999999,https://www.zhihu.com/question/561107476
海南经济不再靠房地产，旅游业等四个主导产业增加值占 80% 以上，带来哪些积极影响？,产业,发展,时事新闻,,,,7.8961375,https://www.zhihu.com/question/436764563
怎么实现经济内循环？,经济,经济危机,循环,,,,7.8401125,https://www.zhihu.com/question/479148526
有哪些平平淡淡却虐到骨子里的虐文？,言情,重生,虐文,,,,7.7946124999999995,https://www.zhihu.com/question/28457505
为什么监狱里最不受待见的是强奸犯？,犯罪,警察,司法,,,,7.7223875,https://www.zhihu.com/question/561240707
美媒称马斯克计划对推特暴力裁员，75% 员工未来数月将被解雇，如何看待这一操作？裁员后对推特有何影响？,互联网,伊隆 · 马斯克（Elon Musk）,商业,,,,7.711237499999999,https://www.zhihu.com/question/479285486
鸦片战争中，为什么道光对谎报的军情选择完全相信？,清朝,晚清,鸦片战争,,,,7.6729875,https://www.zhihu.com/question/560846800
德国蔡司集团在中国首次购地建厂，经营模式转变的原因是什么？,德国,电池,工厂,,,,7.666987499999999,https://www.zhihu.com/question/560931990
俄前线形势吃紧，民众排队渡河转移，目前当地情况如何？,军事,国际,俄罗斯,,,,7.646624999999999,https://www.zhihu.com/question/561185231
如何看待美国网友吐槽加州建设速度「比中国慢 100 倍」，马斯克评论「没错」？这一现象的成因有哪些？,美国,国际,中国,,,,7.641937499999999,https://www.zhihu.com/question/561016417
后宫番那种几个女生同时喜欢一个平平无奇的男主的剧情在现实中有可能出现吗？,现实,剧情,动漫,,,,7.640687499999999,https://www.zhihu.com/question/312668056
超短裙一般是多短？,两性关系,,驾驶,,,,7.6355375,https://www.zhihu.com/question/314273925
在美国买枪多少钱？,美国,枪械,枪械知识库,,,,7.631925,https://www.zhihu.com/question/383995392
上知乎的穿越者可以透露一点未来的事吗？,科幻,穿越,时空穿越,,,,7.5852125,https://www.zhihu.com/question/561291344
有没有那种虐妻一时爽，追妻火葬场，还追不到，男女主最后没有在一起的小说？,小说,电视剧,追妻火葬场,,,,7.55795,https://www.zhihu.com/question/547418539
有什么打脸绿茶的爽文？,小说,绿茶（网络用语）,爽文,,,,7.5546,https://www.zhihu.com/question/52484629
特朗普的对华政策并不友好，为什么那么多人看见他当选总统会喜大普奔？,中国人,美国政治,2016 年美国大选,,,,7.532299999999999,https://www.zhihu.com/question/549206795
为什么癌症晚期明明治不好，还是有很多人要花很多钱去治疗呢？,癌症,治疗,癌症晚期,,,,7.52715,https://www.zhihu.com/question/539426462
为什么提到郑州，有些人会感到绝望？,人口,炒房,烂尾楼,,,,7.520949999999999,https://www.zhihu.com/question/470495045
有没有女主表面茶里茶气，背地里是个沙雕还有点腹黑的小说？,腹黑,古言,沙雕文,,,,7.5159375,https://www.zhihu.com/question/359979027
有没有人来写一个，女主比女配还婊的小说？,情感,甜文,现言,,,,7.466774999999999,https://www.zhihu.com/question/461533625
假如全球各地出现一种“寿桃”，吃一个就可延寿千年，但前提条件是要杀一个人再吃，那么局面会变成什么样?,科幻,科幻电影,带有假设的问题,,,,7.462974999999999,https://www.zhihu.com/question/280990120
请问男性舞者和女性搭档贴身跳舞的时候，是怎么克服生理反应的?,舞蹈艺术,拉丁舞,探戈（舞蹈）,,,,7.45005,https://www.zhihu.com/question/542639629
笔战前段时间有个论调就是中华文明才是人类文明的希望，对于这样的论调你持支持还是反对的态度呢？,文明,中华文明,人类文明,,,,7.4337124999999995,https://www.zhihu.com/question/359702832
被美国驻军的国家不会感到屈辱吗？,互联网,历史,生活,,,,7.423274999999999,https://www.zhihu.com/question/559221026
女儿上小学四年级，每天学校的安排满满当当，感觉没有一点休息时间，怎样才能让孩子放松？,育儿,小学,小学生,,,,7.4003875,https://www.zhihu.com/question/67452946
你听说过哪些骇人听闻的真实事件？,生活,故事,调查类问题,,,,7.3898874999999995,https://www.zhihu.com/question/502890402
《西游记》有哪些谣言在网络上广为流传？,电视剧,西游记（书籍）,网络谣言,,,,7.375425,https://www.zhihu.com/question/553124132
为什么大多数大学生都对封校这么敏感，一直待在宿舍不是很轻松吗，可以的话甚至一辈子保持这个状态都没问题?,大学生,心理状态,大学生现状,,,,7.368074999999999,https://www.zhihu.com/question/561239750
如何看待郑州市发布自 10 月 17 日起，连续 7 天全员核酸正常的小区可逐步恢复正常生活秩序？,郑州生活,郑州,核酸检测,,,,7.341324999999999,https://www.zhihu.com/question/522959452
我爹死了，我可以娶后妈吗？,婚姻,家庭,嫁娶,,,,7.3393749999999995,https://www.zhihu.com/question/494108902
人间清醒是什么样子？,人世间,宿舍生活,人间佛教,,,,7.333724999999999,https://www.zhihu.com/question/304687847
纸牌屋的剧情如此露骨，为什么美国还允许播出？,美国,和谐,纸牌屋 第一季（美剧）,,,,7.3188625,https://www.zhihu.com/question/61559251
为什么新加坡寸土寸金，却没有一个房奴？?,房奴,新加坡,,,,,7.297762499999999,https://www.zhihu.com/question/66204237
12345投诉了警察，会被报复吗？,警察,投诉,信访,,,,7.2885,https://www.zhihu.com/question/561032666
不到两个月欧洲天然气价回落近七成，发生了什么？受哪些因素影响？,能源,欧洲,天然气,,,,7.2869874999999995,https://www.zhihu.com/question/546190113
儿子像傻子怎么办?,儿子,,国际,,,,7.275312499999999,https://www.zhihu.com/question/333287526
为什么人人都认定吴谢宇弑母是被他妈妈逼的？,犯罪,犯罪心理学,吴谢宇,,,,7.271475,https://www.zhihu.com/question/478824695
犹太人到底干了什么被全世界仇视？,犹太人,乔治·索罗斯（George Soros）,世界历史,,,,7.26655,https://www.zhihu.com/question/533682867
为什么燕子会离开岳云鹏？,燕子,岳云鹏,,,,,7.2429749999999995,https://www.zhihu.com/question/561286593
男孩「只做对 1 道题」被老师疯狂夸奖，如何看待夸奖式教育？有哪些方法能激励孩子的学习兴趣？,教育,儿童教育,热门话题,,,,7.2347874999999995,https://www.zhihu.com/question/560935920
日元兑美元汇率自 1990 年以来首次跌破 150，这意味着什么？将产生哪些影响？,日本,投资,经济,,,,7.231574999999999,https://www.zhihu.com/question/361078749
如果一个好看强大的病娇喜欢你，你会怎么办？,病娇文,虐文,古言,,,,7.222874999999999,https://www.zhihu.com/question/519207288
全国政协委员建议引导未成年人正确看待运用网络语言，建立网络语言负面清单，此举会带来哪些影响？,社交网络,语言,网络语言,,,,7.212025,https://www.zhihu.com/question/559532196
为什么俄罗斯体量这么大一个国家打一个小小的乌克兰要打这么久？,国家,俄罗斯,乌克兰,,,,7.205349999999999,https://www.zhihu.com/question/395346444
假如中国引进大量低层的外国劳务工人会造成什么社会结果？,高效工作,招聘,劳务输出,,,,7.198225,https://www.zhihu.com/question/554830254
如何看待公有制?,公有制,私有制,公有制经济,,,,7.194875,https://www.zhihu.com/question/45155753
最近血荒的事非常多，大家怎么看待这个问题？,社会,献血,医学,,,,7.1936,https://www.zhihu.com/question/309772647
你发生过的最尴尬的事是什么？,心理,人际交往,尴尬,,,,7.1786375,https://www.zhihu.com/question/395696795
大家支持英语退出主科地位吗？,英语,少儿英语,,,,,7.157187499999999,https://www.zhihu.com/question/32301614
拐卖女子有多可怕？,人口贩运,女性贩运,,,,,7.135412499999999,https://www.zhihu.com/question/561173242
如何评价俄罗斯拆除马里乌波尔的乌克兰大饥荒纪念碑?,俄罗斯,乌克兰,苏联历史,,,,7.127199999999999,https://www.zhihu.com/question/62920125
孩子的哪些话震惊了你？,生活,孩子,儿童心理,,,,7.123925,https://www.zhihu.com/question/266101379
