通知链接,通知标题,发布时间
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=34942,关于组织2023届本科毕业生普通话水平测试报名工作的通知,2022-10-14
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1266&wbnewsid=34932,关于公布2022年度国家级、省级、校级大学生创新创业训练计划项目名单的通知,2022-10-13
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1266&wbnewsid=34912,关于山东大学智能车创新团队纳新宣讲会的通知,2022-10-11
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1266&wbnewsid=34903,关于举办中国大学生工程实践与创新能力大赛校级选拔赛的预通知,2022-10-10
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1266&wbnewsid=34902,关于组织参加第九届山东省大学生科技创新大赛校级选拔赛的预通知,2022-10-10
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1015&wbnewsid=34883,关于编制2023年春季学期教学执行计划的通知,2022-10-07
https://www.ipo.sdu.edu.cn/wdhcontent.jsp?urltype=news.NewsContentUrl&wbtreeid=1006&wbnewsid=2851,关于遴选2022年度赴俄乌白专业人才培养计划（第二批）留学候选人的通知,2022-10-05
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1266&wbnewsid=34864,关于山东大学征集创新创业教育工作典型案例的通知,2022-10-04
https://www.ygb.sdu.edu.cn/info/1011/13134.htm,关于在部分本科学科基础课聘任研究生课程助教岗位的通知,2022-09-30
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1266&wbnewsid=34842,关于报送学生大赛获奖信息的通知,2022-09-30
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1018&wbnewsid=34834,关于公布2023年春季赴欧洲友好学校学期交换项目候选人名单的通知,2022-09-28
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1018&wbnewsid=34833,关于公布2023年春季赴美洲、大洋洲友好学校交换项目候选人名单的通知,2022-09-28
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1018&wbnewsid=34814,关于公布2023年春季香港地区友好高校交换项目候选人名单的通知,2022-09-26
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1018&wbnewsid=34813,关于公布2023年春季韩国友好学校交流项目候选人名单的通知,2022-09-26
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1018&wbnewsid=34812,关于公布2023年春季学期自费访学项目候选人名单的通知,2022-09-26
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1266&wbnewsid=34802,关于举办山东大学首届创新创业类精品微课比赛暨山东省高校创新创业类精品微课比赛选拔赛的通知,2022-09-23
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1014&wbnewsid=34792,关于做好济南校本部2022级本科新生图像信息采集工作的通知,2022-09-23
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1266&wbnewsid=34783,关于2022年山东大学“宏晶杯”单片机应用技术竞赛获奖名单公示的通知,2022-09-22
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1266&wbnewsid=34782,关于2023年度推免综合素质分（科研创新部分）增补名额结果公示的通知,2022-09-22
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1014&wbnewsid=34773,关于做好2022级新生学籍卡相关工作的通知,2022-09-20
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1266&wbnewsid=34772,关于学科专业及创新创业竞赛名单推荐征集工作的通知,2022-09-20
https://www.ipo.sdu.edu.cn/wdhcontent.jsp?urltype=news.NewsContentUrl&wbtreeid=1006&wbnewsid=2791,关于报名2023年春季赴欧洲友好学校学期交换项目的通知,2022-09-16
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=34742,关于做好2022年下半年全国大学英语四、六级考试报名工作的通知,2022-09-16
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1266&wbnewsid=34732,关于2023年度推免综合素质分（科研创新部分）结果公示的通知,2022-09-16
https://www.ipo.sdu.edu.cn/wdhcontent.jsp?urltype=news.NewsContentUrl&wbtreeid=1006&wbnewsid=2781,关于报名2023年春季香港岭南大学交换项目的通知,2022-09-15
https://www.ipo.sdu.edu.cn/wdhcontent.jsp?urltype=news.NewsContentUrl&wbtreeid=1006&wbnewsid=2771,关于本科生报名2023年春季赴美洲、大洋洲友好学校交换项目的通知,2022-09-15
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1018&wbnewsid=34722,关于公布2023年加拿大Mitacs本科生实习合作奖学金项目推荐名单的通知,2022-09-14
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1014&wbnewsid=34713,关于本科2022级新生选课工作的通知,2022-09-14
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1018&wbnewsid=34712,关于公布2023年加拿大阿尔伯塔大学本科生实习奖学金候选人项目推荐名单的通知,2022-09-14
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1018&wbnewsid=34702,关于2022年暑期学期本科教学工作量结果公示的通知,2022-09-13
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1266&wbnewsid=34672,关于2023年应届本科毕业生申请论文类、竞赛类科研创新计划推荐免试研究生的通知,2022-09-09
https://www.math.sdu.edu.cn/info/1025/17545.htm,第十四届全国大学生数学竞赛报名通知,2022-09-08
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1018&wbnewsid=34659,关于核对2022年暑期学校本科教学工作量的通知,2022-09-07
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1014&wbnewsid=34658,关于2022-2023学年第1学期本科生补退选的通知,2022-09-07
https://www.ipo.sdu.edu.cn/wdhcontent.jsp?urltype=news.NewsContentUrl&wbtreeid=1006&wbnewsid=2741,关于报名2023年春季香港地区友好高校交换项目的通知（二）,2022-09-06
https://www.ipo.sdu.edu.cn/wdhcontent.jsp?urltype=news.NewsContentUrl&wbtreeid=1006&wbnewsid=2731,关于选派学生2023年春季赴韩国友好学校交流的通知,2022-09-06
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1015&wbnewsid=34643,关于开展2022年拔尖基地学生选拔工作的通知,2022-09-06
http://www.chuangye.sdu.edu.cn/info/1002/1374.htm,关于延期举办第十三届山东省大学生创业计划大赛通知,2022-09-06
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1021&wbnewsid=34634,关于举办2022年秋季学期山东大学教师在线教学能力提升研修班的通知,2022-09-03
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1021&wbnewsid=34632,关于开展“共话智慧教学——如何上好线上开学第一课”教学沙龙的通知,2022-09-03
